source,metaedge,target,source_name,target_name,kind_of_source,kind_of_target
Disease::DOID:5419,Disease - associates - Gene,Gene::3586,schizophrenia,IL10,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::6455,hematologic cancer,SH3GL1,Disease,Gene
Disease::DOID:2998,Disease - associates - Gene,Gene::1618,testicular cancer,DAZL,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::5414,melanoma,SEPT4,Disease,Gene
Disease::DOID:986,Disease - associates - Gene,Gene::154064,alopecia areata,RAET1L,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::2147,Alzheimer's disease,F2,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::54361,prostate cancer,WNT4,Disease,Gene
Disease::DOID:2355,Disease - associates - Gene,Gene::2806,anemia,GOT2,Disease,Gene
Disease::DOID:1936,Disease - associates - Gene,Gene::22882,atherosclerosis,ZHX2,Disease,Gene
Disease::DOID:9970,Disease - associates - Gene,Gene::2875,obesity,GPT,Disease,Gene
Disease::DOID:11054,Disease - associates - Gene,Gene::4489,urinary bladder cancer,MT1A,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::3699,bipolar disorder,ITIH3,Disease,Gene
Disease::DOID:9744,Disease - associates - Gene,Gene::7528,type 1 diabetes mellitus,YY1,Disease,Gene
Disease::DOID:263,Disease - associates - Gene,Gene::7052,kidney cancer,TGM2,Disease,Gene
Disease::DOID:4481,Disease - associates - Gene,Gene::2312,allergic rhinitis,FLG,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::3274,coronary artery disease,HRH2,Disease,Gene
Disease::DOID:4989,Disease - associates - Gene,Gene::3827,pancreatitis,KNG1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::5291,breast cancer,PIK3CB,Disease,Gene
Disease::DOID:2377,Disease - associates - Gene,Gene::4599,multiple sclerosis,MX1,Disease,Gene
Disease::DOID:1192,Disease - associates - Gene,Gene::7157,peripheral nervous system neoplasm,TP53,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::10673,rheumatoid arthritis,TNFSF13B,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::1312,schizophrenia,COMT,Disease,Gene
Disease::DOID:3565,Disease - associates - Gene,Gene::6598,meningioma,SMARCB1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::4548,breast cancer,MTR,Disease,Gene
Disease::DOID:1115,Disease - associates - Gene,Gene::1499,sarcoma,CTNNB1,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::3075,Alzheimer's disease,CFH,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::59344,prostate cancer,ALOXE3,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::2869,type 2 diabetes mellitus,GRK5,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::4190,hypertension,MDH1,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::3612,IgA glomerulonephritis,IMPA1,Disease,Gene
Disease::DOID:8850,Disease - associates - Gene,Gene::23220,salivary gland cancer,DTX4,Disease,Gene
Disease::DOID:8577,Disease - associates - Gene,Gene::2768,ulcerative colitis,GNA12,Disease,Gene
Disease::DOID:14330,Disease - associates - Gene,Gene::3481,Parkinson's disease,IGF2,Disease,Gene
Disease::DOID:3070,Disease - associates - Gene,Gene::847,malignant glioma,CAT,Disease,Gene
Disease::DOID:8577,Disease - associates - Gene,Gene::3394,ulcerative colitis,IRF8,Disease,Gene
Disease::DOID:216,Disease - associates - Gene,Gene::83854,dental caries,ANGPTL6,Disease,Gene
Disease::DOID:12849,Disease - associates - Gene,Gene::4163,autistic disorder,MCC,Disease,Gene
Disease::DOID:12849,Disease - associates - Gene,Gene::7432,autistic disorder,VIP,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::4609,pancreatic cancer,MYC,Disease,Gene
Disease::DOID:184,Disease - associates - Gene,Gene::1965,bone cancer,EIF2S1,Disease,Gene
Disease::DOID:2377,Disease - associates - Gene,Gene::4340,multiple sclerosis,MOG,Disease,Gene
Disease::DOID:14330,Disease - associates - Gene,Gene::441549,Parkinson's disease,CDNF,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::2752,epilepsy syndrome,GLUL,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::921,rheumatoid arthritis,CD5,Disease,Gene
Disease::DOID:9835,Disease - associates - Gene,Gene::1665,refractive error,DHX15,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::1812,bipolar disorder,DRD1,Disease,Gene
Disease::DOID:7693,Disease - associates - Gene,Gene::7079,abdominal aortic aneurysm,TIMP4,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::1027,prostate cancer,CDKN1B,Disease,Gene
Disease::DOID:12930,Disease - associates - Gene,Gene::6901,dilated cardiomyopathy,TAZ,Disease,Gene
Disease::DOID:332,Disease - associates - Gene,Gene::2066,amyotrophic lateral sclerosis,ERBB4,Disease,Gene
Disease::DOID:7693,Disease - associates - Gene,Gene::183,abdominal aortic aneurysm,AGT,Disease,Gene
Disease::DOID:4481,Disease - associates - Gene,Gene::9370,allergic rhinitis,ADIPOQ,Disease,Gene
Disease::DOID:219,Disease - associates - Gene,Gene::5782,colon cancer,PTPN12,Disease,Gene
Disease::DOID:0050741,Disease - associates - Gene,Gene::551,alcohol dependence,AVP,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::2898,bipolar disorder,GRIK2,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::3039,hypertension,HBA1,Disease,Gene
Disease::DOID:4989,Disease - associates - Gene,Gene::250,pancreatitis,ALPP,Disease,Gene
Disease::DOID:3571,Disease - associates - Gene,Gene::2099,liver cancer,ESR1,Disease,Gene
Disease::DOID:263,Disease - associates - Gene,Gene::3440,kidney cancer,IFNA2,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::4208,epilepsy syndrome,MEF2C,Disease,Gene
Disease::DOID:9970,Disease - associates - Gene,Gene::51129,obesity,ANGPTL4,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::55379,IgA glomerulonephritis,LRRC59,Disease,Gene
Disease::DOID:1936,Disease - associates - Gene,Gene::56729,atherosclerosis,RETN,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::54469,type 2 diabetes mellitus,ZFAND6,Disease,Gene
Disease::DOID:9296,Disease - associates - Gene,Gene::4524,cleft lip,MTHFR,Disease,Gene
Disease::DOID:9744,Disease - associates - Gene,Gene::868,type 1 diabetes mellitus,CBLB,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::1610,schizophrenia,DAO,Disease,Gene
Disease::DOID:14330,Disease - associates - Gene,Gene::3162,Parkinson's disease,HMOX1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::100506658,breast cancer,OCLN,Disease,Gene
Disease::DOID:11714,Disease - associates - Gene,Gene::3952,gestational diabetes,LEP,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::5655,stomach cancer,KLK10,Disease,Gene
Disease::DOID:8986,Disease - associates - Gene,Gene::5179,narcolepsy,PENK,Disease,Gene
Disease::DOID:0050425,Disease - associates - Gene,Gene::5607,restless legs syndrome,MAP2K5,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::4915,bipolar disorder,NTRK2,Disease,Gene
Disease::DOID:11612,Disease - associates - Gene,Gene::148,polycystic ovary syndrome,ADRA1A,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::5970,breast cancer,RELA,Disease,Gene
Disease::DOID:1324,Disease - associates - Gene,Gene::920,lung cancer,CD4,Disease,Gene
Disease::DOID:14221,Disease - associates - Gene,Gene::3159,metabolic syndrome X,HMGA1,Disease,Gene
Disease::DOID:8778,Disease - associates - Gene,Gene::3593,Crohn's disease,IL12B,Disease,Gene
Disease::DOID:12236,Disease - associates - Gene,Gene::200931,primary biliary cirrhosis,SLC51A,Disease,Gene
Disease::DOID:9744,Disease - associates - Gene,Gene::23242,type 1 diabetes mellitus,COBL,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::7015,pancreatic cancer,TERT,Disease,Gene
Disease::DOID:332,Disease - associates - Gene,Gene::6529,amyotrophic lateral sclerosis,SLC6A1,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::3553,schizophrenia,IL1B,Disease,Gene
Disease::DOID:9835,Disease - associates - Gene,Gene::443,refractive error,ASPA,Disease,Gene
Disease::DOID:1936,Disease - associates - Gene,Gene::4313,atherosclerosis,MMP2,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::54899,rheumatoid arthritis,PXK,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::5539,pancreatic cancer,PPY,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::332,rheumatoid arthritis,BIRC5,Disease,Gene
Disease::DOID:5041,Disease - associates - Gene,Gene::23373,esophageal cancer,CRTC1,Disease,Gene
Disease::DOID:2355,Disease - associates - Gene,Gene::57599,anemia,WDR48,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::5329,coronary artery disease,PLAUR,Disease,Gene
Disease::DOID:1312,Disease - associates - Gene,Gene::5420,focal segmental glomerulosclerosis,PODXL,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::80896,IgA glomerulonephritis,NPL,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::672,breast cancer,BRCA1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::79728,breast cancer,PALB2,Disease,Gene
Disease::DOID:3953,Disease - associates - Gene,Gene::7253,adrenal gland cancer,TSHR,Disease,Gene
Disease::DOID:3083,Disease - associates - Gene,Gene::4323,chronic obstructive pulmonary disease,MMP14,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::1601,pancreatic cancer,DAB2,Disease,Gene
Disease::DOID:1115,Disease - associates - Gene,Gene::64764,sarcoma,CREB3L2,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::5295,type 2 diabetes mellitus,PIK3R1,Disease,Gene
Disease::DOID:418,Disease - associates - Gene,Gene::1060,systemic scleroderma,CENPC,Disease,Gene
Disease::DOID:363,Disease - associates - Gene,Gene::3624,uterine cancer,INHBA,Disease,Gene
Disease::DOID:2174,Disease - associates - Gene,Gene::6926,ocular cancer,TBX3,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::5664,Alzheimer's disease,PSEN2,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::5020,hypertension,OXT,Disease,Gene
Disease::DOID:8577,Disease - associates - Gene,Gene::1493,ulcerative colitis,CTLA4,Disease,Gene
Disease::DOID:3310,Disease - associates - Gene,Gene::7097,atopic dermatitis,TLR2,Disease,Gene
Disease::DOID:332,Disease - associates - Gene,Gene::643834,amyotrophic lateral sclerosis,PGA3,Disease,Gene
Disease::DOID:1686,Disease - associates - Gene,Gene::4909,glaucoma,NTF4,Disease,Gene
Disease::DOID:11612,Disease - associates - Gene,Gene::2796,polycystic ovary syndrome,GNRH1,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::6401,IgA glomerulonephritis,SELE,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::7057,breast cancer,THBS1,Disease,Gene
Disease::DOID:9074,Disease - associates - Gene,Gene::151112,systemic lupus erythematosus,ZSWIM2,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::1586,melanoma,CYP17A1,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::3303,coronary artery disease,HSPA1A,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::6616,schizophrenia,SNAP25,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::29894,stomach cancer,CPSF1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::5329,breast cancer,PLAUR,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::102,breast cancer,ADAM10,Disease,Gene
Disease::DOID:1686,Disease - associates - Gene,Gene::2908,glaucoma,NR3C1,Disease,Gene
Disease::DOID:7147,Disease - associates - Gene,Gene::56246,ankylosing spondylitis,MRAP,Disease,Gene
Disease::DOID:12361,Disease - associates - Gene,Gene::3133,Graves' disease,HLA-E,Disease,Gene
Disease::DOID:11612,Disease - associates - Gene,Gene::3084,polycystic ovary syndrome,NRG1,Disease,Gene
Disease::DOID:4045,Disease - associates - Gene,Gene::7157,muscle cancer,TP53,Disease,Gene
Disease::DOID:12849,Disease - associates - Gene,Gene::3628,autistic disorder,INPP1,Disease,Gene
Disease::DOID:2394,Disease - associates - Gene,Gene::3845,ovarian cancer,KRAS,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::2806,coronary artery disease,GOT2,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::4317,melanoma,MMP8,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::3091,prostate cancer,HIF1A,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::942,melanoma,CD86,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::2155,coronary artery disease,F7,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::79001,coronary artery disease,VKORC1,Disease,Gene
Disease::DOID:11934,Disease - associates - Gene,Gene::1440,head and neck cancer,CSF3,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::5530,Alzheimer's disease,PPP3CA,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::159,IgA glomerulonephritis,ADSS,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::1012,prostate cancer,CDH13,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::22997,schizophrenia,IGSF9B,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::7299,melanoma,TYR,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::22953,epilepsy syndrome,P2RX2,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::2004,breast cancer,ELK3,Disease,Gene
Disease::DOID:418,Disease - associates - Gene,Gene::4312,systemic scleroderma,MMP1,Disease,Gene
Disease::DOID:263,Disease - associates - Gene,Gene::43,kidney cancer,ACHE,Disease,Gene
Disease::DOID:3310,Disease - associates - Gene,Gene::64332,atopic dermatitis,NFKBIZ,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::2160,hypertension,F11,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::3164,coronary artery disease,NR4A1,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::7091,coronary artery disease,TLE4,Disease,Gene
Disease::DOID:12236,Disease - associates - Gene,Gene::5890,primary biliary cirrhosis,RAD51B,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::3699,schizophrenia,ITIH3,Disease,Gene
Disease::DOID:12849,Disease - associates - Gene,Gene::192683,autistic disorder,SCAMP5,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::7424,melanoma,VEGFC,Disease,Gene
Disease::DOID:12930,Disease - associates - Gene,Gene::2010,dilated cardiomyopathy,EMD,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::213,type 2 diabetes mellitus,ALB,Disease,Gene
Disease::DOID:1459,Disease - associates - Gene,Gene::7979,hypothyroidism,SHFM1,Disease,Gene
Disease::DOID:1319,Disease - associates - Gene,Gene::10389,brain cancer,SCML2,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::4311,Alzheimer's disease,MME,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::160851,bipolar disorder,DGKH,Disease,Gene
Disease::DOID:2994,Disease - associates - Gene,Gene::29947,germ cell cancer,DNMT3L,Disease,Gene
Disease::DOID:4989,Disease - associates - Gene,Gene::3569,pancreatitis,IL6,Disease,Gene
Disease::DOID:1324,Disease - associates - Gene,Gene::2268,lung cancer,FGR,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::498,Alzheimer's disease,ATP5A1,Disease,Gene
Disease::DOID:10871,Disease - associates - Gene,Gene::2202,age related macular degeneration,EFEMP1,Disease,Gene
Disease::DOID:9835,Disease - associates - Gene,Gene::80114,refractive error,BICC1,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::3014,hypertension,H2AFX,Disease,Gene
Disease::DOID:2394,Disease - associates - Gene,Gene::268,ovarian cancer,AMH,Disease,Gene
Disease::DOID:9970,Disease - associates - Gene,Gene::3929,obesity,LBP,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::5420,prostate cancer,PODXL,Disease,Gene
Disease::DOID:11054,Disease - associates - Gene,Gene::1890,urinary bladder cancer,TYMP,Disease,Gene
Disease::DOID:2355,Disease - associates - Gene,Gene::5741,anemia,PTH,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::23742,melanoma,NPAP1,Disease,Gene
Disease::DOID:635,Disease - associates - Gene,Gene::6898,acquired immunodeficiency syndrome,TAT,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::8802,stomach cancer,SUCLG1,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::5444,prostate cancer,PON1,Disease,Gene
Disease::DOID:9744,Disease - associates - Gene,Gene::3651,type 1 diabetes mellitus,PDX1,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::7431,prostate cancer,VIM,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::2940,prostate cancer,GSTA3,Disease,Gene
Disease::DOID:1781,Disease - associates - Gene,Gene::595,thyroid cancer,CCND1,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::6541,prostate cancer,SLC7A1,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::5020,schizophrenia,OXT,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::4922,schizophrenia,NTS,Disease,Gene
Disease::DOID:363,Disease - associates - Gene,Gene::5728,uterine cancer,PTEN,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::2632,epilepsy syndrome,GBE1,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::26499,prostate cancer,PLEK2,Disease,Gene
Disease::DOID:0060119,Disease - associates - Gene,Gene::595,pharynx cancer,CCND1,Disease,Gene
Disease::DOID:9970,Disease - associates - Gene,Gene::3990,obesity,LIPC,Disease,Gene
Disease::DOID:5041,Disease - associates - Gene,Gene::1956,esophageal cancer,EGFR,Disease,Gene
Disease::DOID:5419,Disease - associates - Gene,Gene::57795,schizophrenia,BRINP2,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::567,prostate cancer,B2M,Disease,Gene
Disease::DOID:219,Disease - associates - Gene,Gene::5395,colon cancer,PMS2,Disease,Gene
Disease::DOID:2841,Disease - associates - Gene,Gene::5054,asthma,SERPINE1,Disease,Gene
Disease::DOID:10871,Disease - associates - Gene,Gene::3990,age related macular degeneration,LIPC,Disease,Gene
Disease::DOID:263,Disease - associates - Gene,Gene::238,kidney cancer,ALK,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::3032,breast cancer,HADHB,Disease,Gene
Disease::DOID:332,Disease - associates - Gene,Gene::4137,amyotrophic lateral sclerosis,MAPT,Disease,Gene
Disease::DOID:1781,Disease - associates - Gene,Gene::7038,thyroid cancer,TG,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::55755,rheumatoid arthritis,CDK5RAP2,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::6755,epilepsy syndrome,SSTR5,Disease,Gene
Disease::DOID:12365,Disease - associates - Gene,Gene::948,malaria,CD36,Disease,Gene
Disease::DOID:2355,Disease - associates - Gene,Gene::10560,anemia,SLC19A2,Disease,Gene
Disease::DOID:14221,Disease - associates - Gene,Gene::1268,metabolic syndrome X,CNR1,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::2100,breast cancer,ESR2,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::632,breast cancer,BGLAP,Disease,Gene
Disease::DOID:1936,Disease - associates - Gene,Gene::2153,atherosclerosis,F5,Disease,Gene
Disease::DOID:9008,Disease - associates - Gene,Gene::79092,psoriatic arthritis,CARD14,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::57554,hypertension,LRRC7,Disease,Gene
Disease::DOID:12236,Disease - associates - Gene,Gene::8986,primary biliary cirrhosis,RPS6KA4,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::5265,hypertension,SERPINA1,Disease,Gene
Disease::DOID:11054,Disease - associates - Gene,Gene::6241,urinary bladder cancer,RRM2,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::8932,prostate cancer,MBD2,Disease,Gene
Disease::DOID:7148,Disease - associates - Gene,Gene::284274,rheumatoid arthritis,SMIM21,Disease,Gene
Disease::DOID:363,Disease - associates - Gene,Gene::1440,uterine cancer,CSF3,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::9429,hematologic cancer,ABCG2,Disease,Gene
Disease::DOID:332,Disease - associates - Gene,Gene::8446,amyotrophic lateral sclerosis,DUSP11,Disease,Gene
Disease::DOID:11054,Disease - associates - Gene,Gene::330,urinary bladder cancer,BIRC3,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::118,epilepsy syndrome,ADD1,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::51196,stomach cancer,PLCE1,Disease,Gene
Disease::DOID:3571,Disease - associates - Gene,Gene::975,liver cancer,CD81,Disease,Gene
Disease::DOID:3121,Disease - associates - Gene,Gene::7345,gallbladder cancer,UCHL1,Disease,Gene
Disease::DOID:594,Disease - associates - Gene,Gene::3356,panic disorder,HTR2A,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::10965,coronary artery disease,ACOT2,Disease,Gene
Disease::DOID:9074,Disease - associates - Gene,Gene::350,systemic lupus erythematosus,APOH,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::9607,type 2 diabetes mellitus,CARTPT,Disease,Gene
Disease::DOID:8577,Disease - associates - Gene,Gene::6925,ulcerative colitis,TCF4,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::3050,hematologic cancer,HBZ,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::624,hypertension,BDKRB2,Disease,Gene
Disease::DOID:14221,Disease - associates - Gene,Gene::3479,metabolic syndrome X,IGF1,Disease,Gene
Disease::DOID:11476,Disease - associates - Gene,Gene::111,osteoporosis,ADCY5,Disease,Gene
Disease::DOID:12365,Disease - associates - Gene,Gene::3106,malaria,HLA-B,Disease,Gene
Disease::DOID:184,Disease - associates - Gene,Gene::7280,bone cancer,TUBB2A,Disease,Gene
Disease::DOID:11612,Disease - associates - Gene,Gene::146,polycystic ovary syndrome,ADRA1D,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::6750,pancreatic cancer,SST,Disease,Gene
Disease::DOID:3393,Disease - associates - Gene,Gene::80312,coronary artery disease,TET1,Disease,Gene
Disease::DOID:418,Disease - associates - Gene,Gene::170679,systemic scleroderma,PSORS1C1,Disease,Gene
Disease::DOID:9970,Disease - associates - Gene,Gene::5539,obesity,PPY,Disease,Gene
Disease::DOID:3070,Disease - associates - Gene,Gene::864,malignant glioma,RUNX3,Disease,Gene
Disease::DOID:2174,Disease - associates - Gene,Gene::6295,ocular cancer,SAG,Disease,Gene
Disease::DOID:10283,Disease - associates - Gene,Gene::84619,prostate cancer,ZGPAT,Disease,Gene
Disease::DOID:784,Disease - associates - Gene,Gene::6311,chronic kidney failure,ATXN2,Disease,Gene
Disease::DOID:824,Disease - associates - Gene,Gene::360203,periodontitis,GLT6D1,Disease,Gene
Disease::DOID:184,Disease - associates - Gene,Gene::7982,bone cancer,ST7,Disease,Gene
Disease::DOID:2174,Disease - associates - Gene,Gene::55279,ocular cancer,ZNF654,Disease,Gene
Disease::DOID:1826,Disease - associates - Gene,Gene::5579,epilepsy syndrome,PRKCB,Disease,Gene
Disease::DOID:7147,Disease - associates - Gene,Gene::3552,ankylosing spondylitis,IL1A,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::5747,hypertension,PTK2,Disease,Gene
Disease::DOID:13189,Disease - associates - Gene,Gene::5631,gout,PRPS1,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::55289,hematologic cancer,ACOXL,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::3570,hematologic cancer,IL6R,Disease,Gene
Disease::DOID:12361,Disease - associates - Gene,Gene::26191,Graves' disease,PTPN22,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::54790,breast cancer,TET2,Disease,Gene
Disease::DOID:2986,Disease - associates - Gene,Gene::51338,IgA glomerulonephritis,MS4A4A,Disease,Gene
Disease::DOID:0050741,Disease - associates - Gene,Gene::3763,alcohol dependence,KCNJ6,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::2353,hematologic cancer,FOS,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::958,breast cancer,CD40,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::9582,breast cancer,APOBEC3B,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::10481,breast cancer,HOXB13,Disease,Gene
Disease::DOID:10763,Disease - associates - Gene,Gene::5795,hypertension,PTPRJ,Disease,Gene
Disease::DOID:2355,Disease - associates - Gene,Gene::5889,anemia,RAD51C,Disease,Gene
Disease::DOID:9352,Disease - associates - Gene,Gene::7225,type 2 diabetes mellitus,TRPC6,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::9277,stomach cancer,WDR46,Disease,Gene
Disease::DOID:1793,Disease - associates - Gene,Gene::23220,pancreatic cancer,DTX4,Disease,Gene
Disease::DOID:5041,Disease - associates - Gene,Gene::4854,esophageal cancer,NOTCH3,Disease,Gene
Disease::DOID:8398,Disease - associates - Gene,Gene::100131390,osteoarthritis,SP9,Disease,Gene
Disease::DOID:3312,Disease - associates - Gene,Gene::10964,bipolar disorder,IFI44L,Disease,Gene
Disease::DOID:8577,Disease - associates - Gene,Gene::3123,ulcerative colitis,HLA-DRB1,Disease,Gene
Disease::DOID:9744,Disease - associates - Gene,Gene::53347,type 1 diabetes mellitus,UBASH3A,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::4524,stomach cancer,MTHFR,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::6615,stomach cancer,SNAI1,Disease,Gene
Disease::DOID:2531,Disease - associates - Gene,Gene::8915,hematologic cancer,BCL10,Disease,Gene
Disease::DOID:14221,Disease - associates - Gene,Gene::348,metabolic syndrome X,APOE,Disease,Gene
Disease::DOID:10534,Disease - associates - Gene,Gene::2064,stomach cancer,ERBB2,Disease,Gene
Disease::DOID:784,Disease - associates - Gene,Gene::3931,chronic kidney failure,LCAT,Disease,Gene
Disease::DOID:1612,Disease - associates - Gene,Gene::94234,breast cancer,FOXQ1,Disease,Gene
Disease::DOID:2994,Disease - associates - Gene,Gene::6515,germ cell cancer,SLC2A3,Disease,Gene
Disease::DOID:11054,Disease - associates - Gene,Gene::58508,urinary bladder cancer,KMT2C,Disease,Gene
Disease::DOID:1319,Disease - associates - Gene,Gene::6275,brain cancer,S100A4,Disease,Gene
Disease::DOID:10652,Disease - associates - Gene,Gene::4852,Alzheimer's disease,NPY,Disease,Gene
Disease::DOID:1909,Disease - associates - Gene,Gene::3091,melanoma,HIF1A,Disease,Gene
